slot_index	slot_type	token	count
2	FRAG	er	3943
2	FRAG	abc	3934
2	FRAG	bb	3913
2	FRAG	lil	3906
2	FRAG	da	3874
2	FRAG	jc	3869
2	FRAG	al	3830
2	FRAG	dec	3814
2	FRAG	no	3783
2	FRAG	jm	3598
2	FRAG	mom	3547
2	FRAG	sa	3471
2	FRAG	xx	3471
2	FRAG	ll	3468
2	FRAG	sh	3434
2	FRAG	de	3424
2	FRAG	cc	3414
2	FRAG	oct	3371
2	FRAG	ca	3369
2	FRAG	na	3368
2	FRAG	dj	3312
2	FRAG	hi	3253
2	FRAG	mc	3250
2	FRAG	te	3247
2	FRAG	teamo	3180
2	FRAG	ja	3155
2	FRAG	aj	3149
2	FRAG	an	3137
2	FRAG	jo	3098
2	FRAG	ac	3019
2	FRAG	kk	3001
2	FRAG	co	2999
2	FRAG	ka	2975
2	FRAG	lyf	2951
2	FRAG	ryan	2937
2	FRAG	jb	2923
2	FRAG	mj	2867
2	FRAG	mi	2800
2	FRAG	is	2799
2	FRAG	yo	2754
2	FRAG	ad	2740
2	FRAG	br	2698
2	FRAG	ar	2697
2	FRAG	rd	2685
2	FRAG	ck	2663
2	FRAG	sm	2660
2	FRAG	jen	2639
2	FRAG	el	2625
2	FRAG	dr	2576
2	FRAG	ng	2558
2	FRAG	aug	2555
